,title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id
177,Give Ya,Comeback Season,2007-09-01,['Trey Songz'],['Terrel “T. Slack”'],"['Terrel “T. Slack”', 'Trey Songz', 'Drake']",52311,2622.0
178,Glow,More Life,2017-03-18,['Kanye West'],"['Noah Goldstein', '40', 'Kanye West']","['CyHi', 'Illangelo', 'Ilsey', 'Nineteen85', 'Philip Bailey', 'Sakiya Sandifer', 'Gabriel Garzón-Montano', 'Noah Goldstein', 'Maurice White', '40', 'Kenza Samir', 'Majid Al Maskati', 'Jordan Ullman', 'Malik Yusef', 'Drake', 'Kanye West']",3028702,286515.0
179,God’s Plan,Scorpion,2018-01-19,[],"['Cardo', 'Yung Exclusive', 'Boi-1da', '40']","['Drake', 'Cardo', 'Yung Exclusive', 'Boi-1da', '40', 'Brock Korsan']",3315890,420582.0
180,God’s Plan (Demo)*,<single>,,['Trippie Redd'],"['Yung Exclusive', 'Boi-1da', 'Cardo']","['Boi-1da', 'Drake', 'Trippie Redd', 'Yung Exclusive', 'Cardo', 'Brock Korsan']",4177882,
181,God’s Plan iran,<single>,,[],"['Yung Exclusive & Boi-1da', 'Cardo', '40']",['Drake'],7198588,
182,Going in for Life,Comeback Season,2007-09-01,[],['Exchange Student'],"['Exchange Student', 'Drake']",1851,2622.0
183,Good Night and Good Luck,<single>,,[],[],['Drake'],6010,
184,Good Ones Go (Interlude),Take Care,2011-11-15,[],['40'],"['Drake', '40', 'Chilly Gonzales']",58665,10787.0
185,Good Riddance (Aristo Diss),<single>,2009-03-02,"['JD Era', 'Jonny Roxx', 'Young Tony', 'Ken Masters', 'Bishop Brigante']",['Boi-1da'],"['Bishop Brigante', 'Ken Masters', 'Young Tony', 'Jonny Roxx', 'JD Era', 'Drake']",51974,
186,Go Out Tonight,<single>,2015-05-22,[],[],['Drake'],1891382,
187,Grammys,Views,2016-04-29,['Future'],"['40', 'DY Krazy', 'Cardo', 'Yung Exclusive', 'Southside']","['Drake', '40', 'Cardo', 'Brock Korsan', 'Future', 'Yung Exclusive', 'Southside']",2463404,132506.0
188,Greatness,Young Sweet Jones,2010-06-21,['Bishop Brigante'],['Rene Snaz Hill'],"['Bishop Brigante', 'Drake']",3001,881461.0
189,Growing Up,<single>,,[],[],[],8538927,
190,Gyalchester,More Life,2017-03-18,[],['\u200biBeatz'],"['Rico Brooks', '\u200biBeatz', 'Drake']",3028682,286515.0
191,Hate Sleeping Alone,Take Care,2011-11-15,[],['40'],"['Drake', '40', 'Trey Songz', 'Anthony Palman']",58634,10787.0
192,Headlines,Take Care,2011-08-09,[],"['40', 'Boi-1da']","['Drake', '40', 'Boi-1da']",52766,10787.0
193,HEATED (Demo),<single>,,[],"['Boi-1da', 'Jahaan Sweet', 'Sevn Thomas', 'Neenyo', 'Cadenza', 'Kelman Duran', 'Stuart White', 'Harry Edwards']",['Drake'],8240585,
194,Heat of the Moment,Care Package,2014-10-25,[],['40'],"['PARTYNEXTDOOR', 'Steve “Stone” Huff', '40', 'Avant', 'Drake']",240199,549691.0
195,"Hold On, We’re Going Home",Nothing Was the Same,2013-08-07,['Majid Jordan'],"['Majid Jordan', '40', 'Nineteen85']","['Nineteen85', 'Majid Al Maskati', 'Drake', 'Jordan Ullman', '40']",200546,40475.0
196,Hot 97 Freestyle,<single>,2009-04-21,[],[],['Drake'],1655,
197,Hotline Bling,Views,2015-07-25,[],['Nineteen85'],"['Drake', 'Nineteen85', 'Timmy Thomas']",2263723,132506.0
198,Houstatlantavegas,So Far Gone,2009-02-13,[],['40'],"['40', 'Drake']",1016,2627.0
199,How Bout Now,If You’re Reading This It’s Too Late,2014-10-19,[],"['Jordan Evans', 'Boi-1da']","['Boi-1da', 'DeVante Swing', 'Ransom', 'Jordan Evans', 'Drake']",546639,119674.0
200,HYFR (Hell Ya Fucking Right),Take Care,2012-04-24,['Lil Wayne'],['T-Minus'],"['Drake', 'Lil Wayne', '40', 'Kenza Samir', 'Anthony Palman', 'T-Minus']",58343,10787.0
201,Hype,Views,2016-04-29,[],"['CuBeatz', 'The Beat Bully', 'Nineteen85', 'Boi-1da']","['Drake', 'Boi-1da', 'The Beat Bully', 'Nineteen85', 'Kenoe', 'Tim Gomringer', 'Kevin Gomringer']",2463400,132506.0
202,Hype (Remix),Memorial Day Weekend 2016 Soundtrack,2016-05-21,['Lil Wayne'],"['CuBeatz', 'The Beat Bully', 'Boi-1da', 'Nineteen85']","['Lil Wayne', 'Drake']",2477388,911397.0
203,Ice Melts,More Life,2017-03-18,['Young Thug'],"['S1', 'Supah Mario']","['Starrah', 'Supah Mario', 'S1', 'Young Thug', 'Drake']",3028709,286515.0
204,I Could Never,<single>,,['Jorja Smith'],[],"['Jorja Smith', 'Drake']",3739064,
205,I Did (Grand Entrance),<single>,,[],['Boi-1da'],['Drake'],5397226,
206,I Do (Remix Verse),<single>,,[],[],[],65411,
207,I Do This,"Back for the First Time, Vol. 1",2009-08-15,['Belly'],[],"['Belly', 'Drake']",1804313,694.0
208,I Get Lonely,Care Package,2010-10-05,[],['40'],"['40', 'Dallas Austin', 'Drake']",1497,549691.0
209,Ignant Shit,So Far Gone,2009-02-13,['Lil Wayne'],"['Just Blaze', 'Eric Hudson']","['Drake', 'Lil Wayne', 'Just Blaze', 'Eric Hudson', 'JAY-Z', 'Beanie Sigel', 'Ronald Isley', 'Ernie Isley', 'Marvin Isley', 'O’Kelly Isley', 'Rudolph Isley', 'Chris Jasper']",1036,2627.0
210,I Guess It’s Fuck Me,Her Loss,2022-11-04,[],['TheLoudPack'],"['Drake', 'IsThisShiv', 'MixedByTheBest', 'Dougie F']",8524045,966485.0
211,I’m Goin In,So Far Gone (EP),2009-09-15,"['Jeezy', 'Lil Wayne']",['Needlz'],"['Nickelus F', 'Drake', 'Jeezy', 'Lil Wayne']",149,31785.0
212,I’m On My Way,<single>,,[],['Infamous'],['Drake'],57543,
213,I’m Ready For You,Young Sweet Jones,2010-08-02,[],['StarGate'],"['Drake', 'Mikkel Storleer Eriksen', 'Tor Erik Hermansen', 'Shi Wisdom']",1368,881461.0
214,I’m Ready For You (Full Length),<single>,,[],[],['Drake'],92772,
215,I’m still ballin again,<single>,,[],[],[],5727938,
216,I’m Still Fly,Heartbreak Drake,2009-12-19,[],[],['Drake'],3175721,359632.0
217,I’m Upset,Scorpion,2018-05-26,[],['Oogie Mane'],"['Oogie Mane', 'Drake']",3745302,420582.0
218,IMY2,Certified Lover Boy,2021-09-03,['Kid Cudi'],"['YUME', 'KanielTheOne', 'Houssam', 'Harley Arsenault', 'Clibbo', '3DDY']","['Juice WRLD', '3DDY', 'Clibbo', 'KanielTheOne', 'Houssam', 'Harley Arsenault', 'YUME', 'Kid Cudi', 'Drake']",7165582,585647.0
219,In My Feelings,Scorpion,2018-06-29,[],"['TrapMoneyBenny', '40', 'BlaqNmilD']","['Drake', 'Ibra Ake', '40', 'Yung Miami', 'JT', 'Phil “Triggaman” Price', 'Orville “Bugs Can Can” Hall', 'Magnolia Shorty', 'Lil Wayne', 'Rex Zamor', 'Jim Jonsin', 'Static Major', 'Deezle', 'TrapMoneyBenny']",3807759,420582.0
220,Inst,Drake Demo Disk,2006-01-01,[],['Boi-1da'],"['Boi-1da', 'Drake']",4427019,516437.0
221,In The Bible,Certified Lover Boy,2021-09-03,"['GIVĒON', 'Lil Durk']","['Leon Thomas III', 'Austin Powerz', 'Eli Brown', '40']","['Simon Gebrelul', 'Eli Brown', 'Austin Powerz', 'Leon Thomas III', 'GIVĒON', 'Lil Durk', 'Drake', '40']",7165576,585647.0
222,In The Bible (Demo),<single>,,['Lil Durk'],"['40', 'Eli Brown', 'Austin Powerz', 'Leon Thomas III']","['40', 'Eli Brown', 'Austin Powerz', 'Leon Thomas III', 'Lil Durk', 'Drake']",7166273,
223,In the Cut,<single>,,['Roddy Ricch'],"['Nils', 'CuBeatz', 'Boi-1da']","['Roddy Ricch', 'Drake']",5397199,
224,Intro,"Honestly, Nevermind",2022-06-17,[],['Kid Masterpiece'],"['Kid Masterpiece', 'Drake']",8111078,880669.0
225,Intro (Comeback Season),Comeback Season,2007-10-24,[],['Al Welsch'],"['Al Welsch', 'Drake']",372385,2622.0
226,Intro (Room For Improvement),Room for Improvement,2006-02-14,[],['DJ Smallz'],"['DJ Smallz', 'Drake']",333532,2625.0
227,In Two’s,<single>,,[],['DJ Comics'],['Drake'],8810778,
228,Invented Sex,<single>,,[],[],[],1825543,
229,I Stay Fly,<single>,,[],[],[],419,
230,Is There More,Scorpion,2018-06-29,[],"['Jeffrey Rashad', 'Preme', 'Wallis Lane']","['Jeffrey Rashad', 'Kenza Samir', 'Farsi', 'Nizzy', 'Preme', 'Static Major', 'Wallis Lane', 'Timbaland', 'Drake']",3631865,420582.0
231,Jaded,Scorpion,2018-06-29,[],['Noel Cadastre'],"['Hitmaka', 'Chrishan', 'A1', 'Ty Dolla $ign', 'Noel Cadastre', 'Drake']",3807756,420582.0
232,Jimmy Cooks,"Honestly, Nevermind",2022-06-17,['21 Savage'],"['Vinylz', 'Tay Keith', 'CuBeatz', 'Tizzle']","['Drake', '21 Savage', 'Tay Keith', 'Vinylz', 'Kevin Gomringer', 'Tim Gomringer', 'Tizzle', 'Dougie F', 'Playa Fly', 'Harry Ray', 'Al Goodman', 'Walter Morris']",8110900,880669.0
233,Jodeci Freestyle,Care Package,2013-06-22,['J. Cole'],"['40', 'Bink!']","['Drake', '40', 'Bink!', 'The Notorious B.I.G.', 'Lil’ Cease', 'DeVante Swing', 'Jeff Lorber', 'Roger Troutman', 'Terry “Zapp” Troutman', 'J. Cole', 'J.R. Swinga', 'Andreao “Fanatic” Heard']",176774,549691.0
234,Jodeci Freestyle (Original),<single>,,['J. Cole'],[],[],8230144,
235,Jorja Interlude,More Life,2017-03-18,['Jorja Smith'],['40'],"['Adrian X', 'Stevie Wonder', 'Don McLean', '40', 'Jorja Smith', 'Drake']",3028667,286515.0
236,Juice,<single>,2009-12-11,[],['Boi-1da'],['Drake'],1498,
237,Jumbotron Shit Poppin,Her Loss,2022-11-04,[],"['F1LTHY', 'CuBeatz', 'Oogie Mane', 'Sad Pony', '40', 'Klimperboy', 'DannoProductionz', 'Dilara']","['Drake', 'F1LTHY', 'Kevin Gomringer', 'Tim Gomringer', 'Sad Pony', 'Oogie Mane', '40', 'Klimperboy', 'DannoProductionz', 'Dilara', 'Lil Yachty']",8524051,966485.0
238,Jungle,If You’re Reading This It’s Too Late,2015-02-13,[],['40'],"['Kenza Samir', 'Drake', '40', 'Gabriel Garzón-Montano']",703387,119674.0
239,Jungle (Video),<single>,2015-02-12,[],[],[],703402,
240,Karaoke,Thank Me Later,2010-06-15,[],['Francis and the Lights'],"['Francis and the Lights', '40', 'Drake']",1307,2630.0
241,Keep the Family Close,Views,2016-04-29,[],['Maneesh'],"['Drake', 'Maneesh', 'Kenza Samir']",2463390,132506.0
242,"Kick, Push (Remix)",Room for Improvement,2006-02-14,['Lupe Fiasco'],['Soundtrakk'],"['Soundtrakk', 'Lupe Fiasco', 'Drake']",61759,2625.0
243,King Leon (Street Cred),<single>,,[],"['Northern Profit', 'Boi-1da']",['Drake'],49896,
244,KMT,More Life,2017-03-18,['Giggs'],"['NessOTB', 'Squale']","['NessOTB', 'Squale', 'Drake', 'Giggs']",2968864,286515.0
245,Knife Talk,Certified Lover Boy,2021-09-03,"['21 Savage', 'Project Pat']","['Peter Lee Johnson', 'Metro Boomin']","['Jerami Davis', 'G Koop', 'Juicy J', 'A$AP Rocky', 'Peter Lee Johnson', 'Metro Boomin', 'Project Pat', '21 Savage', 'Drake']",7165580,585647.0
246,Know Yourself,If You’re Reading This It’s Too Late,2015-02-13,[],"['Allen Ritter', 'Vinylz', 'Syk Sense', 'Boi-1da', 'Metro Boomin']","['Jan Stoeckart', 'Allen Ritter', 'Boi-1da', 'Syk Sense', 'Vinylz', 'Drake', 'Quentin Miller']",703654,119674.0
247,Landed,Dark Lane Demo Tapes,2020-05-01,[],"['Dez Wright', 'Cardo']","['Cardo', 'Dez Wright', 'Drake']",5433550,630537.0
248,Laugh Now Cry Later,<single>,2020-08-14,['Lil Durk'],"['Rogét Chahayed', 'Yung Exclusive', 'Cardo', 'G. Ry']","['G. Ry', 'Yung Exclusive', 'Rogét Chahayed', 'Cardo', 'Lil Durk', 'Drake']",5865445,
249,Legend,If You’re Reading This It’s Too Late,2015-02-13,[],['PARTYNEXTDOOR'],"['Digital Black', 'Static Major', 'Timbaland', 'Quentin Miller', 'PARTYNEXTDOOR', 'Drake']",703734,119674.0
250,Lemon Pepper Freestyle,Scary Hours 2,2021-03-05,['Rick Ross'],"['Austin Powerz', 'FNZ', 'Keanu Beats', 'Boi-1da']","['Keanu Beats', 'Austin Powerz', 'Finatik', 'Simon Gebrelul', 'Zac', 'Coco O.', 'Boi-1da', 'Robin Hannibal', 'Rick Ross', 'Drake']",6555268,742624.0
251,Lemon Pepper Freestyle (Demo),<single>,,['Rod Wave'],"['Boi-1da', 'Keanu Beats', 'FNZ', 'Austin Powerz']","['Keanu Beats', 'FNZ', 'Austin Powerz', 'Boi-1da', 'Robin Hannibal', 'Rod Wave', 'Drake', 'Coco O.']",6880517,
252,Let’s Call It Off,So Far Gone,2009-02-13,['Peter Bjorn and John'],['Björn Yttling'],"['40', 'Peter Bjorn and John', 'Drake']",4663,2627.0
253,Liability,"Honestly, Nevermind",2022-06-17,[],"['Nyan', 'Tim Suby']","['Drake', 'Tim Suby', 'Nyan']",8110893,880669.0
254,Lie To Me,<single>,,[],['Pi’erre Bourne'],"['Pi’erre Bourne', 'Drake']",5522514,
255,Lift Yourself (Original Version),<single>,,[],"['Kanye West', 'MIKE DEAN']",['Drake'],7175214,
256,Light Up,Thank Me Later,2010-06-15,['JAY-Z'],"['Tone Mason', '40']","['Tone Mason', 'JAY-Z', '40', 'Drake']",508,2630.0
257,Like I’m Supposed To/Do Things,<single>,,[],[],['Drake'],4718866,
258,Little Bit,So Far Gone,2009-02-13,['Lykke Li'],['Björn Yttling'],"['Drake', 'Björn Yttling', 'Lykke Li']",3907,2627.0
259,Live Then*,<single>,,[],[],[],6963954,
260,Live Up to My Name (Reference),<single>,,['Baka Not Nice'],"['Narcos', 'Alex Lustig', 'BricksDaMane']","['Baka Not Nice', 'Drake']",3386807,
261,London Tour Freestyle,<single>,,[],[],[],3236,
262,Look What You’ve Done,Take Care,2011-11-15,[],"['40', 'Chase N. Cashe']","['Drake', '40', 'Chase N. Cashe']",58345,10787.0
263,Lord Knows,Take Care,2011-11-15,['Rick Ross'],['Just Blaze'],"['Drake', 'Rick Ross', 'Just Blaze', 'Anthony Palman']",55695,10787.0
264,Lose You,More Life,2017-03-18,[],"['40', 'Stwo']","['40', 'Stwo', 'Drake']",3028711,286515.0
265,Losses,Dark Lane Demo Tapes,2020-05-01,[],"['OZ', 'Foreign Teck', 'Elyas', 'Sevn Thomas']","['Foreign Teck', 'Elyas', 'Sevn Thomas', 'Drake']",5520818,630537.0
266,Love All,Certified Lover Boy,2021-09-03,['JAY-Z'],"['The Rascals', 'Dez Wright', 'OZ']","['Drake', 'JAY-Z', 'Dez Wright', 'OZ', 'Khristopher Riddick-Tynes', 'Leon Thomas III', 'The Notorious B.I.G.', 'Diddy', 'Stevie J']",5367025,585647.0
267,Love And Gunz,Black Diamond 8 (Audible Narcotic),,[],[],[],2967,924577.0
268,Love From a Distance,<single>,,[],[],['Drake'],5999999,
269,Loving You No More,Young Sweet Jones 2,2010-09-21,['Dirty Money'],"['Mario Winans', 'Miykal Snoddy', 'Sean Garrett']","['Kalenna', 'Dawn Richard', 'Mario Winans', 'Drake', 'Sean Garrett']",1945,348688.0
270,Lucky Lefty,<single>,,[],['Cardo'],['Drake'],5847025,
271,Lust for Life,So Far Gone,2009-02-13,[],['40'],"['Roland Orzabal', '40', 'Drake']",2829,2627.0
272,Madiba Riddim,More Life,2017-03-18,[],"['Charlie Handsome', 'Ging', 'Nineteen85']","['Charlie Handsome', 'Ging', 'Nineteen85', 'Drake']",3028673,286515.0
273,Madonna,If You’re Reading This It’s Too Late,2015-02-13,[],['40'],"['Digital Black', 'Static Major', '40', 'Timbaland', 'Drake']",703728,119674.0
274,Madonna (Physical CD Version),<single>,,[],['40'],[],720583,
275,Make Me Proud,Take Care,2011-10-16,['Nicki Minaj'],"['T-Minus', 'Nikhil Seetharam']","['Drake', 'Nicki Minaj', 'T-Minus', 'Nikhil Seetharam', 'Anthony Palman']",57183,10787.0
276,Make Things Right,Room for Improvement,2006-02-14,['Slakah the Beatchild'],"['Boi-1da', 'AmiR (Producer)']","['Boi-1da', 'AmiR (Producer)', 'Drake']",18066,2625.0
277,Man of the Year,Comeback Season,2007-09-01,['Lil Wayne'],"['Boi-1da', 'DJ Revolution', 'Jump']","['Lil Wayne', 'Drake']",2714,2622.0
278,March 14,Scorpion,2018-06-29,[],"['Vaiyeh', 'T-Minus']","['Michael “Black Mic” Williams', 'Mity Maose', 'Nes', 'SoundzFire', 'Kenza Samir', 'Al Sherrod Lambert', 'D’Angelo', 'Shawn Stockman', 'Nathan Morris', 'Raphael Saadiq', 'T-Minus', 'Vaiyeh', 'Drake']",3807750,420582.0
279,Marvins Room,Take Care,2011-06-09,[],['40'],"['Drake', '40', 'Adrian X']",50895,10787.0
280,Marvin’s Room 2,<single>,,[],[],[],6741671,
281,Marvin’s Room (Third-person narrative),<single>,,[],['40'],[],5198083,
282,Massive,"Honestly, Nevermind",2022-06-17,[],"['LIOHN', 'Gordo', 'Klahr']","['Drake', 'Gordo', 'LIOHN', 'Klahr', 'TRESOR']",8110892,880669.0
283,Massive (Desmond Remix),<single>,,[],"['Desmond (band)', 'ZOOF']",[],8550149,
284,Massive (Mixed),Today’s Hits: September 2022 (DJ Mix),2022-08-26,[],[],[],8368489,949000.0
285,Mention Me,Scary Hours 3*,,['Rema'],[],"['Drake', 'Rema']",7169679,918587.0
286,Messages From You,Young Sweet Jones,,[],[],['Drake'],3958,881461.0
287,Middle of the Ocean,Her Loss,2022-11-04,[],"['OZ', 'Nik D', 'Noel Cadastre', 'Sucuki', 'LOOF']","['Drake', 'OZ', 'Noel Cadastre', 'Nik D', 'Sucuki', 'Cam’ron', 'Jim Jones', 'Juelz Santana', 'D/R Period', 'Kenneth Gamble & Leon Huff']",8524053,966485.0
288,Milk,<single>,,[],[],[],99142,
289,Missin’ You (Freestyle),Comeback Season,2007-09-01,['Trey Songz'],['StarGate'],"['3T', 'StarGate', 'Drake', 'Trey Songz']",18055,2622.0
290,Miss Me,Thank Me Later,2010-06-01,['Lil Wayne'],"['40', 'Boi-1da']","['Bun B', 'Dave Richardson', 'Doug Edwards', 'Lil Wayne', '40', 'Boi-1da', 'Drake']",496,2630.0
291,Mob Ties,Scorpion,2018-06-29,[],"['Boi-1da', 'Allen Ritter', 'Asheley Turner']","['Drake', 'Boi-1da', 'Allen Ritter', 'Vory', 'Asheley Turner', 'Nas', 'AZ', 'Cormega', 'Foxy Brown', 'Poke', 'Tone', 'Dave Atkinson']",3807746,420582.0
292,Money,<single>,,[],['Ging'],[],2265012,
293,Money in the Grave,The Best in the World Pack,2019-06-15,['Rick Ross'],"['DeLorean Black', 'Asoteric', 'Ljay Currie', 'CC On The Track']","['DeLorean Black', 'Asoteric', 'Ljay Currie', 'CC On The Track', 'Rick Ross', 'Drake']",4629364,536814.0
294,Money (Remix),Room for Improvement,2006-02-14,['Nickelus F'],['Ging'],"['Ging', 'Nickelus F', 'Drake']",18065,2625.0
295,Money to Blow (Snippet),Heartbreak Drake,2008-12-06,[],"['DJ Ill Will', 'Birdman']","['DJ Ill Will', 'Birdman', 'Drake']",898747,359632.0
296,More Life [Note],More Life,2017-03-18,[],['Drake'],['Drake'],3028726,286515.0
297,More Milli,<single>,,[],[],[],1804780,
298,More Ready,<single>,2017-06-30,"['D’African', 'PARTYNEXTDOOR']",[],"['Drake', 'PARTYNEXTDOOR']",3134542,
299,More Ready (Remix),<single>,2017-08-23,['Trey Songz'],[],[],3208987,
300,MSG Freestyle (Hot 97),<single>,2016-08-04,[],[],[],2832861,
301,Must Hate Money,Comeback Season,2007-09-01,['Rich Boy'],"['Jump', 'Neenyo']","['Neenyo', 'Rich Boy', 'Drake']",18056,2622.0
302,My Love (Demo),<single>,2018-04-29,[],"['Nineteen85', 'Illangelo', '40', 'Jordan Ullman']","['Majid Al Maskati', 'Ilsey', 'Nineteen85', 'Illangelo', 'Jordan Ullman', 'Drake']",3685109,
303,My New Shit,Black Diamond 8 (Audible Narcotic),,[],['Nottz'],"['Nottz', 'Drake']",2954,924577.0
304,My Side,If You’re Reading This It’s Too Late,2015-04-21,[],"['Boi-1da', 'Noel Cadastre', '40']","['PARTYNEXTDOOR', '40', 'Noel Cadastre', 'Boi-1da', 'Drake']",748776,119674.0
305,N 2 Deep,Certified Lover Boy,2021-09-03,['Future'],"['Noel Cadastre', 'Alex Lustig', 'Harley Arsenault', 'Kid Masterpiece', '40']","['Alex Lustig', 'Kid Masterpiece', 'Mr. Lee', 'Z-Ro', 'Jeezy', 'JAY-Z', 'Pimp C', 'Bun B', 'Noel Cadastre', 'Harley Arsenault', '40', 'Future', 'Drake']",7163722,585647.0
306,Neatly,Scary Hours 3*,,[],"['OG Parker', 'G. Ry', 'BRYVN', 'FRANKIE XY']","['PARTYNEXTDOOR', 'Drake']",7360921,918587.0
307,Never 2,<single>,,[],[],[],6741661,
308,Never ’Bout Us,<single>,,[],[],[],3221297,
309,Never never never,<single>,,[],[],[],6734550,
310,New Album Titled ‘Views From The 6’,<single>,,[],[],[],499514,
311,New Shit,Comeback Season,2007-09-01,"['Von Pea', 'Phonte']",['Nottz'],"['Nottz', 'Phonte', 'Von Pea', 'Drake']",18059,2622.0
312,Nice For What,Scorpion,2018-04-06,[],"['Murda Beatz', 'BlaqNmilD', '40', 'Corey Litwin']","['Birdman', 'Raekwon', 'Glenishe Rowe', 'RZA', 'Ghostface Killah', 'Phil “Triggaman” Price', 'Orville “Bugs Can Can” Hall', '5th Ward Weebie', 'Mannie Fresh', '40', 'BlaqNmilD', 'Marilyn Bergman', 'Alan Bergman', 'The Showboys', 'Lauryn Hill', 'Marvin Hamlisch', 'Brother J', 'Murda Beatz', 'Drake']",3580132,420582.0
313,No Friends In The Industry,Certified Lover Boy,2021-09-03,[],"['Vinylz', 'Nik D', 'OZ']","['Gregory Williams', 'Bobby DeBarge', 'OZ', 'Nik D', 'Vinylz', 'Drake']",7165568,585647.0
314,No Good*,<single>,,[],"['OZ', 'Deats']",['Drake'],8525022,
315,No Long Talk,More Life,2017-03-18,['Giggs'],"['CuBeatz', 'Murda Beatz']","['Tim Gomringer', 'Kevin Gomringer', 'Murda Beatz', 'Giggs', 'Drake']",2992774,286515.0
316,Nonstop,Scorpion,2018-06-29,[],"['No I.D.', 'Noel Cadastre', 'Tay Keith']","['Kenza Samir', 'Sakata Kareem Otis', 'DJ Squeeky', 'No I.D.', 'Tay Keith', 'Drake']",3807730,420582.0
317,No Tellin’,If You’re Reading This It’s Too Late,2015-02-13,[],"['Ging', 'Boi-1da']","['River Tiber', 'Ging', 'Kenza Samir', 'Boi-1da', 'Drake', 'Quentin Miller']",703742,119674.0
318,Nothings Into Somethings,More Life,2017-03-18,[],"['Nabeyin', 'Wallis Lane', 'G. Ry']","['Nabeyin', 'Farsi', 'G. Ry', 'Nizzy', 'Drake']",3028696,286515.0
319,Not Nice,<single>,2018-04-29,[],"['Nineteen85', 'Supa Dups']",[],3203377,
320,Not You Too,Dark Lane Demo Tapes,2020-05-01,['Chris Brown'],['Noel Cadastre'],"['Chris Brown', 'Noel Cadastre', 'Drake']",5520781,630537.0
321,November 14th [Chuck Inglish Remix],<single>,,[],[],[],1825407,
322,November 18th,So Far Gone,2009-02-13,[],['DJ Screw'],"['Drake', 'DJ Screw', '24hrs', 'Harley O Tha Pro', 'The Notorious B.I.G.', 'Bacharach & David', 'Burt Bacharach', 'Hal David', 'Bun B', 'Pimp C', 'Jermaine Dupri', 'George Candler', 'Donald Hepburn', 'Jimmy Marinos', 'Wally Palamarchuk', 'Mike Skill', 'Peter Solley']",2497,2627.0
323,Now & Forever,If You’re Reading This It’s Too Late,2015-02-13,[],"['Jimmy Prime', 'Eric Dingus']","['Jimmy Prime', 'Drake', 'Eric Dingus']",703735,119674.0
324,Omertà,The Best in the World Pack,2019-06-15,[],"['Deats', 'OZ', 'E.Y.']","['Boi-1da', 'Deats', 'E.Y.', 'OZ', 'Drake']",4629363,536814.0
325,One Dance,Views,2016-04-05,"['Kyla', 'Wizkid']","['DJ Maphorisa', '40', 'Wizkid', 'Nineteen85']","['Drake', '40', 'Wizkid', 'Kyla', 'Nineteen85', 'Logan Sama', 'China Black', 'DJ Maphorisa', 'Crazy Cousinz']",2450584,132506.0
326,One Dance (Dub),<single>,2016-06-29,"['Wizkid', 'Kyla']","['Nineteen85', 'DJ Maphorisa']","['Crazy Cousinz', '40', 'Kyla', 'Wizkid', 'Nineteen85', 'Drake']",2576915,
327,One Man Show,<single>,2010-05-10,[],[],[],3893523,
328,On My Way,Young Sweet Jones 2,2013-06-17,['James Fauntleroy'],[],['Drake'],57292,348688.0
329,Outro,So Far Gone,2009-02-13,[],['Chilly Gonzales'],['Chilly Gonzales'],139751,2627.0
330,Over,Thank Me Later,2010-03-08,[],"['Nick Brongers', 'Boi-1da']","['Nick Brongers', '40', 'Boi-1da', 'Drake']",322,2630.0
331,Over (Ayobi remix),<single>,,['Ayobi'],[],[],3918295,
332,Overdose,<single>,,"['Mickey Factz', 'Travie McCoy']",[],[],1290268,
333,Overdrive,"Honestly, Nevermind",2022-06-17,[],"['Beau Nox', 'Alex Lustig', '40', 'Black Coffee']",['Drake'],8110895,880669.0
334,Over My Dead Body,Take Care,2011-11-15,[],"['40', 'Chantal Kreviazuk']","['Drake', '40', 'Chantal Kreviazuk', 'Anthony Palman']",58661,10787.0
335,OVO Sound Radio Episode 10 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-11-14,[],[],[],2370451,128797.0
336,OVO Sound Radio Episode 11 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-11-28,[],[],[],2379615,128797.0
337,OVO Sound Radio Episode 12 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-12-12,[],[],[],2386539,128797.0
338,OVO Sound Radio Episode 13 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-01-16,[],[],[],2408264,128797.0
339,OVO Sound Radio Episode 14 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-01-30,[],[],[],2413886,128797.0
340,OVO Sound Radio Episode 15 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-02-13,[],[],[],2422513,128797.0
341,OVO Sound Radio Episode 16 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-02-27,[],[],[],2430516,128797.0
342,OVO Sound Radio Episode 17 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-03-12,[],[],[],2438143,128797.0
343,OVO Sound Radio Episode 18 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-03-27,[],[],[],2445721,128797.0
344,OVO Sound Radio Episode 19 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-04-09,[],[],[],2453439,128797.0
345,OVO Sound Radio Episode 1 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-07-11,[],[],[],2277233,128797.0
346,OVO Sound Radio Episode 20 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-04-28,[],[],[],2464011,128797.0
347,OVO Sound Radio Episode 21 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-05-09,[],[],[],2470238,128797.0
